Day,Bin,GWC_30cm,GWC_10cm
13,35,16.98287067,5.781772206
13,39,NA,10.51954559
13,40,13.480324,10.43803681
14,1,13.578019,8.811282538
14,2,13.66847733,8.181551731
14,3,10.50243567,10.99994426
14,4,11.53783567,7.627493275
14,5,23.13570733,NA
14,6,16.28954233,6.645161519
14,7,7.163270667,NA
14,8,14.899824,1.518963575
14,9,11.218309,5.013174588
14,10,10.665539,7.750259588
14,11,10.860094,5.551535056
14,12,10.67667233,3.24091205
14,13,12.52452733,NA
14,14,10.32207567,8.097829131
14,15,10.87651567,5.264342388
14,16,11.687579,NA
14,17,10.540289,8.65068005
14,18,13.56772067,8.800213444
14,19,13.64175733,8.171690175
14,20,10.838384,5.54006345
14,21,11.513064,9.319253313
14,22,9.818570667,NA
14,23,NA,12.26966994
14,24,8.461417333,5.6801378
14,25,NA,11.26419371
14,26,11.202444,NA
14,27,10.64410733,NA
14,28,10.480169,10.98062366
14,29,10.654684,NA
14,30,12.499199,6.5946462
14,31,NA,7.960974881
14,32,10.47126233,8.361676075
14,33,11.66280733,NA
14,34,10.51997067,NA
14,35,16.39725733,5.739307138
14,39,NA,10.31607552
14,40,12.88719567,10.14520896
15,1,13.74724567,9.0902237
15,2,13.944584,8.841068463
15,3,10.792459,13.18578839
15,4,12.40595733,8.634177038
15,5,23.40541233,NA
15,6,15.717289,7.8343847
15,7,7.593017333,NA
15,8,15.70921733,1.516749756
15,9,11.67644567,4.97010575
15,10,11.07775067,7.673983469
15,11,11.44821233,5.8926644
15,12,11.79724233,3.248358531
15,13,12.66731233,NA
15,14,11.16848733,9.379026419
15,15,11.72571067,5.283059219
15,16,13.317499,NA
15,17,10.79774733,8.7746539
15,18,13.736669,9.078148325
15,19,13.92009067,8.827383038
15,20,11.422884,5.88139405
15,21,12.38369067,10.04297079
15,22,11.211629,NA
15,23,NA,11.85588709
15,24,10.10553233,5.990676194
15,25,NA,11.84522051
15,26,11.656684,NA
15,27,11.056319,NA
15,28,10.77269733,13.15982633
15,29,11.776924,NA
15,30,12.64309733,6.38050955
15,31,NA,8.570580063
15,32,12.23728733,8.975306381
15,33,13.28883067,NA
15,34,10.77353233,NA
15,35,17.57405067,5.660414688
15,39,NA,11.45578966
15,40,13.88557733,12.46106463
16,1,14.052299,9.439000781
16,2,13.712454,8.759358425
16,3,10.723989,12.41075057
16,4,12.21223733,8.4816248
16,5,23.474439,NA
16,6,15.73426733,7.323395081
16,7,7.466097333,NA
