"Bin","Day","GWC","Depth"
15,100,NA,10
15,101,10.39026733,30
15,101,NA,10
15,102,10.27002733,30
15,102,NA,10
15,103,10.02732067,30
15,103,NA,10
15,104,10.691424,30
15,104,NA,10
15,105,12.239514,30
15,105,NA,10
15,106,11.485509,30
15,106,NA,10
15,107,10.88375233,30
15,107,NA,10
15,108,11.42344067,30
15,108,NA,10
15,109,11.44320233,30
15,109,NA,10
15,110,9.971097333,30
15,110,NA,10
15,111,11.804479,30
15,111,NA,10
15,112,11.66109757,30
15,112,NA,10
16,0,13.12906733,30
16,0,NA,10
16,1,11.75465733,30
16,1,NA,10
16,2,11.51501233,30
16,2,NA,10
16,3,13.12322233,30
16,3,NA,10
16,4,13.70104233,30
16,4,NA,10
16,5,12.761389,30
16,5,NA,10
16,6,11.69704233,30
16,6,NA,10
16,7,12.59077067,30
16,7,NA,10
16,8,13.01467233,30
16,8,NA,10
16,9,12.088379,30
16,9,NA,10
16,10,11.60519233,30
16,10,NA,10
16,11,12.87049567,30
16,11,NA,10
16,12,13.429389,30
16,12,NA,10
16,13,12.388979,30
16,13,NA,10
16,14,11.687579,30
16,14,NA,10
16,15,13.317499,30
16,15,NA,10
16,16,13.883629,30
16,16,NA,10
16,17,12.57991567,30
16,17,NA,10
16,18,11.87656733,30
16,18,NA,10
16,19,11.57262733,30
16,19,NA,10
16,20,11.812829,30
16,20,NA,10
16,21,13.286604,30
16,21,NA,10
16,22,12.621109,30
16,22,NA,10
16,23,11.69064067,30
16,23,NA,10
16,24,12.16714733,30
16,24,NA,10
16,25,14.27496567,30
16,25,NA,10
16,26,13.27797567,30
16,26,NA,10
16,27,12.04050567,30
16,27,NA,10
16,28,13.205609,30
16,28,NA,10
16,29,13.692414,30
16,29,NA,10
16,30,12.49613733,30
16,30,NA,10
16,31,11.663364,30
16,31,NA,10
16,32,12.72325733,30
16,32,NA,10
16,33,13.836869,30
16,33,NA,10
16,34,12.684569,30
16,34,NA,10
16,35,11.729329,30
16,35,NA,10
16,36,13.25543067,30
16,36,NA,10
16,37,13.74529733,30
16,37,NA,10
16,38,12.455779,30
16,38,NA,10
16,39,11.73795733,30
16,39,NA,10
16,40,13.11765567,30
16,40,NA,10
16,41,13.738339,30
16,41,NA,10
16,42,12.47387067,30
16,42,NA,10
16,43,11.759389,30
16,43,NA,10
16,44,13.36231067,30
16,44,NA,10
16,45,13.96434567,30
16,45,NA,10
16,46,13.075349,30
16,46,NA,10
16,47,12.02770233,30
16,47,NA,10
16,48,12.59967733,30
16,48,NA,10
16,49,13.15857067,30
16,49,NA,10
16,50,12.13152067,30
16,50,NA,10
16,51,11.71374233,30
16,51,NA,10
16,52,13.295789,30
16,52,NA,10
16,53,13.94263567,30
16,53,NA,10
16,54,12.73494733,30
16,54,NA,10
16,55,12.01851733,30
16,55,NA,10
16,56,13.093719,30
16,56,NA,10
16,57,13.70521733,30
16,57,NA,10
16,58,12.414029,30
16,58,NA,10
16,59,12.023249,30
16,59,NA,10
16,60,12.452439,30
16,60,NA,10
16,61,14.127449,30
16,61,NA,10
16,62,12.90556567,30
16,62,NA,10
16,63,11.96758233,30
16,63,NA,10
16,64,13.359249,30
16,64,NA,10
16,65,13.95432567,30
16,65,NA,10
16,66,12.82206567,30
16,66,NA,10
16,67,11.90328733,30
16,67,NA,10
16,68,13.01244567,30
16,68,NA,10
16,69,13.31805567,30
16,69,NA,10
16,70,12.10814067,30
16,70,NA,10
16,71,12.021579,30
16,71,NA,10
16,72,12.788944,30
16,72,NA,10
16,73,13.380124,30
16,73,NA,10
16,74,12.306314,30
16,74,NA,10
16,75,11.968974,30
16,75,NA,10
16,76,13.57078233,30
16,76,NA,10
16,77,14.07623567,30
16,77,NA,10
16,78,12.90445233,30
16,78,NA,10
16,79,12.33526067,30
16,79,NA,10
16,80,12.16909567,30
16,80,NA,10
16,81,12.048299,30
16,81,NA,10
